id,district_id,station_id,case_id,crime_type,lat,lng,timestamp,mo_text
INC-00001,KA-BLR-URB,KA-BLR-URB-ST06,,chain_snatching,13.018286,77.531818,2025-12-19T02:45:00,"Snatched near residential lane, suspect fled on foot."
INC-00002,KA-BLR-URB,KA-BLR-URB-ST05,CASE-00044,robbery,13.093029,77.528764,2026-04-13T10:45:00,"Suspect(s) threatened victim near main market, cash/valuables taken."
INC-00003,KA-BLR-URB,KA-BLR-URB-ST06,CASE-00045,vehicle_theft,12.968635,77.603831,2025-11-16T13:00:00,"Vehicle taken from highway stretch, no forced entry signs."
INC-00004,KA-BLR-URB,KA-BLR-URB-ST03,CASE-00027,chain_snatching,12.906659,77.566047,2025-10-29T09:30:00,"Snatched near ATM kiosk, suspect fled on foot."
INC-00005,KA-BLR-URB,KA-BLR-URB-ST02,CASE-00038,robbery,12.999277,77.629423,2025-12-29T02:45:00,"Suspect(s) threatened victim near highway stretch, cash/valuables taken."
INC-00006,KA-BLR-URB,KA-BLR-URB-ST03,CASE-00023,cybercrime,13.005225,77.591986,2026-05-24T08:00:00,Victim reported unauthorized transaction linked to residential lane IP.
INC-00007,KA-BLR-URB,KA-BLR-URB-ST04,CASE-00025,burglary,12.924538,77.571756,2026-02-06T14:30:00,"Forced entry via ATM kiosk, valuables removed, occupants absent."
INC-00008,KA-BLR-URB,KA-BLR-URB-ST06,,chain_snatching,12.969305,77.518977,2026-03-01T00:45:00,"Snatched near main market, suspect fled on foot."
INC-00009,KA-BLR-URB,KA-BLR-URB-ST03,,burglary,12.94358,77.537163,2026-01-26T19:30:00,"Forced entry via highway stretch, valuables removed, occupants absent."
INC-00010,KA-BLR-URB,KA-BLR-URB-ST06,CASE-00029,vehicle_theft,13.008878,77.602531,2025-12-10T20:00:00,"Vehicle taken from highway stretch, no forced entry signs."
INC-00011,KA-BLR-URB,KA-BLR-URB-ST02,CASE-00051,vehicle_theft,12.868158,77.568451,2025-11-16T09:30:00,"Vehicle taken from ATM kiosk, no forced entry signs."
INC-00012,KA-BLR-URB,KA-BLR-URB-ST05,,chain_snatching,12.961132,77.611392,2026-06-14T08:15:00,"Snatched near ATM kiosk, suspect fled on foot."
INC-00013,KA-BLR-URB,KA-BLR-URB-ST01,,robbery,13.02102,77.598933,2025-12-12T07:45:00,"Suspect(s) threatened victim near residential lane, cash/valuables taken."
INC-00014,KA-BLR-URB,KA-BLR-URB-ST04,CASE-00015,robbery,12.916881,77.604513,2026-04-07T21:30:00,"Suspect(s) threatened victim near ATM kiosk, cash/valuables taken."
INC-00015,KA-BLR-URB,KA-BLR-URB-ST05,,vehicle_theft,12.958402,77.633394,2026-03-17T19:15:00,"Vehicle taken from main market, no forced entry signs."
INC-00016,KA-BLR-URB,KA-BLR-URB-ST02,CASE-00035,cybercrime,13.000547,77.627712,2025-10-24T01:30:00,Victim reported unauthorized transaction linked to main market IP.
INC-00017,KA-BLR-URB,KA-BLR-URB-ST06,,cybercrime,12.900882,77.531737,2026-05-03T18:15:00,Victim reported unauthorized transaction linked to highway stretch IP.
INC-00018,KA-BLR-URB,KA-BLR-URB-ST03,,burglary,12.982857,77.580173,2025-10-17T22:30:00,"Forced entry via ATM kiosk, valuables removed, occupants absent."
INC-00019,KA-BLR-URB,KA-BLR-URB-ST06,CASE-00008,theft,13.042389,77.571112,2026-04-07T17:30:00,"Item stolen from ATM kiosk during afternoon, no witnesses reported."
